domain,severity,reject_media,reject_reports,public_comment,obfuscate
t.freesky.im,suspend,False,False,,False
t.kaikoga.net,suspend,False,False,,False
t.kiriha.me,suspend,False,False,,False
t.manfre.net,suspend,False,False,,False
t.nyk.app,suspend,False,False,,False
t.q12.im,suspend,False,False,,False
t.testitfor.me,suspend,False,False,,False
t.wtyl.live,suspend,False,False,,False
t00t.cloud,suspend,False,False,,False
t00t.it,suspend,False,False,,False
t1.ztrehagem.dev,suspend,False,False,,False
t3617.wordpress.com,suspend,False,False,,False
t51b.org,suspend,False,False,,False
t7744.wordpress.com,suspend,False,False,,False
tablegame.mstdn.cloud,suspend,False,False,,False
tabletop.place,suspend,False,False,,False
tabletop.social,suspend,False,False,,False
tabletop.vip,suspend,False,False,,False
taciturn.social,suspend,False,False,,False
taco.cc,suspend,False,False,,False
tacobelllabs.net,suspend,False,False,,False
tacobu.de,suspend,False,False,,False
tacocat.space,suspend,False,False,,False
tacticalpedia.social,suspend,False,False,,False
tad.me,suspend,False,False,,False
tadanemuinda.com,suspend,False,False,,False
taedcke.social,suspend,False,False,,False
taeglichkeiten.kopfstim.me,suspend,False,False,,False
tafarn.glauca.space,suspend,False,False,,False
tagessch.eu,suspend,False,False,,False
taghreedtalib.wordpress.com,suspend,False,False,,False
tags.mymath.rocks,suspend,False,False,,False
tagtagtagmag.com,suspend,False,False,,False
taidum.social,suspend,False,False,,False
tailand.blog,suspend,False,False,,False
tailored.social,suspend,False,False,,False
taiwan.riley-tech.net,suspend,False,False,,False
taiwan.wtf,suspend,False,False,,False
taiyolab.com,suspend,False,False,,False
tak.rvn.ovh,suspend,False,False,,False
takahe-gihyo-trial.shuuji3.xyz,suspend,False,False,,False
takahe.blankpad.net,suspend,False,False,,False
takahe.humberto.io,suspend,False,False,,False
takahe.ixvd.net,suspend,False,False,,False
takahe.mercadosocial.madrid,suspend,False,False,,False
takahe.schach.social,suspend,False,False,,False
takahe.scrun.ch,suspend,False,False,,False
takahe.social,suspend,False,False,,False
takahe.staging.django-cast.com,suspend,False,False,,False
takanoriskey.toppu.jp,suspend,False,False,,False
takeawalkinmyflipflops.com,suspend,False,False,,False
takeko.monster,suspend,False,False,,False
takeo.social,suspend,False,False,,False
takesama.com,suspend,False,False,,False
takoverse.syutin.com,suspend,False,False,,False
takuji.org,suspend,False,False,,False
takvim.d12macera.com,suspend,False,False,,False
takzetego.pl,suspend,False,False,,False
talamanca.social,suspend,False,False,,False
tale.violaine.xyz,suspend,False,False,,False
tales.techydad.com,suspend,False,False,,False
talipallopeli.club,suspend,False,False,,False
talk.brydge.dev,suspend,False,False,,False
talk.drdiddlybadger.com,suspend,False,False,,False
talk.halvbrax.se,suspend,False,False,,False
talk.macstack.net,suspend,False,False,,False
talk.marq42.xyz,suspend,False,False,,False
talk.mls20.de,suspend,False,False,,False
talk.stayas.one,suspend,False,False,,False
talk.wack.industries,suspend,False,False,,False
talkedabout.social,suspend,False,False,,False
talking.dev,suspend,False,False,,False
talkingdrupal.social,suspend,False,False,,False
talks.edimood.com,suspend,False,False,,False
talksmacky.com,suspend,False,False,,False
talktech.info,suspend,False,False,,False
tallahasseesocial.org,suspend,False,False,,False
tallerescoloniales.com,suspend,False,False,,False
tallman.social,suspend,False,False,,False
talos.link,suspend,False,False,,False
tama.social,suspend,False,False,,False
tamagawashinorg.blog,suspend,False,False,,False
tambayan.us,suspend,False,False,,False
tamillarocks.blog,suspend,False,False,,False
tammenpaa.com,suspend,False,False,,False
tams.tech,suspend,False,False,,False
tandemwiththerandom.com,suspend,False,False,,False
tane.codes,suspend,False,False,,False
tangentbordet.se,suspend,False,False,,False
tangodiffusion.blogs.tedomum.net,suspend,False,False,,False
tanoshii.site,suspend,False,False,,False
tante.cc,suspend,False,False,,False
tantriskmagi.com,suspend,False,False,,False
tanuki.hostdon.ne.jp,suspend,False,False,,False
tanukitunes.com,suspend,False,False,,False
tanyagargmba.wordpress.com,suspend,False,False,,False
tanyameeson.com,suspend,False,False,,False
tanztee.social,suspend,False,False,,False
tapbots.social,suspend,False,False,,False
tape-41.de,suspend,False,False,,False
taproot.social,suspend,False,False,,False
taquiones.net,suspend,False,False,,False
tarakka.fi,suspend,False,False,,False
tarale.fedipress.au,suspend,False,False,,False
tarasupadon.com,suspend,False,False,,False
tardar.social,suspend,False,False,,False
tardis.team,suspend,False,False,,False
tarjamadotblog.wordpress.com,suspend,False,False,,False
tarmotanilsoo.com,suspend,False,False,,False
taruntarun.net,suspend,False,False,,False
tassaron.com,suspend,False,False,,False
tastingtraffic.net,suspend,False,False,,False
tastybugs.club,suspend,False,False,,False
tati.at,suspend,False,False,,False
tatooine.club,suspend,False,False,,False
tau-ceti.space,suspend,False,False,,False
taur.zone,suspend,False,False,,False
tauri.earth,suspend,False,False,,False
taurus-web.de,suspend,False,False,,False
taverne-zum-wanderer.de,suspend,False,False,,False
tawanbluemoo1.wordpress.com,suspend,False,False,,False
taxes.theron.kane-il.us,suspend,False,False,,False
taxinews.pl,suspend,False,False,,False
tbh.co-shaoghal.net,suspend,False,False,,False
tbs.social,suspend,False,False,,False
tbtmarks.glitch.me,suspend,False,False,,False
tc-postmarks.glitch.me,suspend,False,False,,False
tchafia.be,suspend,False,False,,False
tcp.fm,suspend,False,False,,False
tcrscorner.social,suspend,False,False,,False
tdd.social,suspend,False,False,,False
tds.xyz,suspend,False,False,,False
tdx-labs.com,suspend,False,False,,False
teabag.ninja,suspend,False,False,,False
teachertalkwithmrstucker.wordpress.com,suspend,False,False,,False
teak7.wordpress.com,suspend,False,False,,False
teal.social,suspend,False,False,,False
team.matechan.com,suspend,False,False,,False
team.yarnspinner.dev,suspend,False,False,,False
teamfmradio.com,suspend,False,False,,False
teamfmradio.masto.host,suspend,False,False,,False
teamhydra.social,suspend,False,False,,False
teapot.zone,suspend,False,False,,False
tears.intherain.club,suspend,False,False,,False
teasmith.au,suspend,False,False,,False
tebukuro.xyz,suspend,False,False,,False
tech-savvy.social,suspend,False,False,,False
tech-tips.ca,suspend,False,False,,False
tech.dannyhorne.com,suspend,False,False,,False
tech.gillyb.net,suspend,False,False,,False
tech.intersects.art,suspend,False,False,,False
tech.lgbt,suspend,False,False,,False
tech.matchy.net,suspend,False,False,,False
tech.retrotalk.live,suspend,False,False,,False
tech.social.pekkasipila.com,suspend,False,False,,False
tech1nsighthub.wordpress.com,suspend,False,False,,False
techarts.wordpress.com,suspend,False,False,,False
techbacon.social,suspend,False,False,,False
techbites.info,suspend,False,False,,False
techblog.mountainfold.co,suspend,False,False,,False
techdon.dev,suspend,False,False,,False
techdonuts.uk,suspend,False,False,,False
techfieldday.net,suspend,False,False,,False
techforgood.social,suspend,False,False,,False
techhangout.social,suspend,False,False,,False
techhub.social,suspend,False,False,,False
techlover.eu,suspend,False,False,,False
technodon.org,suspend,False,False,,False
technologycorp0.wordpress.com,suspend,False,False,,False
technomage.net,suspend,False,False,,False
techopolis.social,suspend,False,False,,False
techotakugamerz.com,suspend,False,False,,False
techpolicy.social,suspend,False,False,,False
techromancer.club,suspend,False,False,,False
techshakeblog.wordpress.com,suspend,False,False,,False
techtoots.com,suspend,False,False,,False
techy.jp,suspend,False,False,,False
techzerker.com,suspend,False,False,,False
tecirli.family,suspend,False,False,,False
tecnfy.com,suspend,False,False,,False
tecnocracia.com.co,suspend,False,False,,False
tecpiltic.vivaldi.net,suspend,False,False,,False
tedcarstensen.social,suspend,False,False,,False
tedelreplies.wordpress.com,suspend,False,False,,False
teh.entar.net,suspend,False,False,,False
tekigousya.net,suspend,False,False,,False
tekkadon.manimani.cc,suspend,False,False,,False
teknik.busene.dk,suspend,False,False,,False
tekton.network,suspend,False,False,,False
teldarpaper.com,suspend,False,False,,False
tele.kenobit.it,suspend,False,False,,False
telefant.net,suspend,False,False,,False
telefreizeit.de,suspend,False,False,,False
telegrafverket.cc,suspend,False,False,,False
telemoritz.de,suspend,False,False,,False
teleurstellend.nl,suspend,False,False,,False
telex.disinfo.zone,suspend,False,False,,False
temp.odon.moe,suspend,False,False,,False
temperam.enta.li,suspend,False,False,,False
tempomagazine.org,suspend,False,False,,False
tendenciastreinamentos.wordpress.com,suspend,False,False,,False
tenforward.social,suspend,False,False,,False
tenko.ai,suspend,False,False,,False
tenochtitlan.city,suspend,False,False,,False
tenpennystreet.wordpress.com,suspend,False,False,,False
tenpoku.com,suspend,False,False,,False
tenshicorn.dog,suspend,False,False,,False
tentacle.social,suspend,False,False,,False
tentacleric.com,suspend,False,False,,False
tepewu.pl,suspend,False,False,,False
teqqy.social,suspend,False,False,,False
terakoya-backstage.com,suspend,False,False,,False
terapeldigitaal.nl,suspend,False,False,,False
terapialatvitalbalikpapan.wordpress.com,suspend,False,False,,False
terberlo.dog,suspend,False,False,,False
terence.page,suspend,False,False,,False
terere.social,suspend,False,False,,False
terminal-gravity.com,suspend,False,False,,False
terminal.ink,suspend,False,False,,False
termine.it-freelancer.hamburg,suspend,False,False,,False
termine.refa.digital,suspend,False,False,,False
termine.social,suspend,False,False,,False
termine.wwworkgroup.de,suspend,False,False,,False
terokankaanpera.fi,suspend,False,False,,False
terra.incognita.net,suspend,False,False,,False
terra.social,suspend,False,False,,False
terraforminglatam.net,suspend,False,False,,False
terrible.city,suspend,False,False,,False
terrible.computer,suspend,False,False,,False
terrible.gay,suspend,False,False,,False
terribly.social,suspend,False,False,,False
terror.black,suspend,False,False,,False
terz.at,suspend,False,False,,False
tesdon.otasky.ja-jp.org,suspend,False,False,,False
test-relay.moew.science,suspend,False,False,,False
test.balotta.org,suspend,False,False,,False
